"","","","E","","","","E","","","","E","","","","E"
"Aenasiella","ovi","","EE","Aenasiella","ovi","","EE","Aenasiella","ovi","","EE","Aenasiella","ovi","","EE"
"Agamerion","metallicum","","PH","Agamerion","metallicum","","PH","Agamerion","metallicum","","PH","Agamerion","metallicum","","PH"
"Ageniaspis","","","EE","Ageniaspis","","","EE","Ageniaspis","","","EE","Ageniaspis","","","EE"
"Ageniaspis","atricollis","","EE","Ageniaspis","atricollis","","EE","Ageniaspis","atricollis","","EE","Ageniaspis","atricollis","","EE"
"Ageniaspis","fuscicollis","","EE","Ageniaspis","fuscicollis","","EE","Ageniaspis","fuscicollis","","EE","Ageniaspis","fuscicollis","","EE"
"Ageniaspis","testaceipes","","EE","Ageniaspis","testaceipes","","EE","Ageniaspis","testaceipes","","EE","Ageniaspis","testaceipes","","EE"
"Agiommatus","antherinae","","PZD","Agiommatus","antherinae","","PZD","Agiommatus","antherinae","","PZD","Agiommatus","antherinae","","PZD"
"Agiommatus","attaci","","PZD","Agiommatus","attaci","","PZD","Agiommatus","attaci","","PZD","Agiommatus","attaci","","PZD"
"Agiommatus","erionotus","","PZD","Agiommatus","erionotus","","PZD","Agiommatus","erionotus","","PZD","Agiommatus","erionotus","","PZD"
"Agiommatus","geethae","","PZD","Agiommatus","geethae","","PZD","Agiommatus","geethae","","PZD","Agiommatus","geethae","","PZD"
"Agiommatus","pantanus","","PZD","Agiommatus","pantanus","","PZD","Agiommatus","pantanus","","PZD","Agiommatus","pantanus","","PZD"
"Agiommatus","paria","","PZD","Agiommatus","paria","","PZD","Agiommatus","paria","","PZD","Agiommatus","paria","","PZD"
"Agiommatus","sumatraensis","","PZD","Agiommatus","sumatraensis","","PZD","Agiommatus","sumatraensis","","PZD","Agiommatus","sumatraensis","","PZD"
"Agiommatus","thyrsisae","","PZD","Agiommatus","thyrsisae","","PZD","Agiommatus","thyrsisae","","PZD","Agiommatus","thyrsisae","","PZD"
"Agiommatus","viridis","","PZD","Agiommatus","viridis","","PZD","Agiommatus","viridis","","PZD","Agiommatus","viridis","","PZD"
"Alaptus","fusculus","","MY","Alaptus","fusculus","","MY","Alaptus","fusculus","","MY","Alaptus","fusculus","","MY"
"Alaptus","immaturus","","MY","Alaptus","immaturus","","MY","Alaptus","immaturus","","MY","Alaptus","immaturus","","MY"
"Alaptus","minimus","","MY","Alaptus","minimus","","MY","Alaptus","minimus","","MY","Alaptus","minimus","","MY"
"Alaptus","pallidicornis","","MY","Alaptus","pallidicornis","","MY","Alaptus","pallidicornis","","MY","Alaptus","pallidicornis","","MY"
"Alaptus","stammeri","","MY","Alaptus","stammeri","","MY","Alaptus","stammeri","","MY","Alaptus","stammeri","","MY"
"Amauroencyrtus","micans","","EE","Amauroencyrtus","micans","","EE","Amauroencyrtus","micans","","EE","Amauroencyrtus","micans","","EE"
"Amira","","","EE","Amira","","","EE","Amira","","","EE","Amira","","","EE"
"Amira","durantae","","EE","Amira","durantae","","EE","Amira","durantae","","EE","Amira","durantae","","EE"
"Amira","fabrei","","EE","Amira","fabrei","","EE","Amira","fabrei","","EE","Amira","fabrei","","EE"
"Amoturoides","","","VO","Amoturoides","","","VO","Amoturoides","","","VO","Amoturoides","","","VO"
"Amoturoides","pachymerus","","VO","Amoturoides","pachymerus","","VO","Amoturoides","pachymerus","","VO","Amoturoides","pachymerus","","VO"
"Anagrus","","","MY","Anagrus","","","MY","Anagrus","","","MY","Anagrus","","","MY"
"Anagrus","amazonensis","","MY","Anagrus","amazonensis","","MY","Anagrus","amazonensis","","MY","Anagrus","amazonensis","","MY"
"Anagrus","armatus","","MY","Anagrus","armatus","","MY","Anagrus","armatus","","MY","Anagrus","armatus","","MY"
"Anagrus","atomus","","MY","Anagrus","atomus","","MY","Anagrus","atomus","","MY","Anagrus","atomus","","MY"
"Anagrus","avalae","","MY","Anagrus","avalae","","MY","Anagrus","avalae","","MY","Anagrus","avalae","","MY"
"Anagrus","baeri","","MY","Anagrus","baeri","","MY","Anagrus","baeri","","MY","Anagrus","baeri","","MY"
"Anagrus","brocheri","","MY","Anagrus","brocheri","","MY","Anagrus","brocheri","","MY","Anagrus","brocheri","","MY"
"Anagrus","columbi","","MY","Anagrus","columbi","","MY","Anagrus","columbi","","MY","Anagrus","columbi","","MY"
"Anagrus","daanei","","MY","Anagrus","daanei","","MY","Anagrus","daanei","","MY","Anagrus","daanei","","MY"
"Anagrus","delicatus","","MY","Anagrus","delicatus","","MY","Anagrus","delicatus","","MY","Anagrus","delicatus","","MY"
"Anagrus","dmitrievi","","MY","Anagrus","dmitrievi","","MY","Anagrus","dmitrievi","","MY","Anagrus","dmitrievi","","MY"
"Anagrus","empanadus","","MY","Anagrus","empanadus","","MY","Anagrus","empanadus","","MY","Anagrus","empanadus","","MY"
"Anagrus","empoascae","","MY","Anagrus","empoascae","","MY","Anagrus","empoascae","","MY","Anagrus","empoascae","","MY"
"Anagrus","ensifer","","MY","Anagrus","ensifer","","MY","Anagrus","ensifer","","MY","Anagrus","ensifer","","MY"
"Anagrus","epos","","MY","Anagrus","epos","","MY","Anagrus","epos","","MY","Anagrus","epos","","MY"
"Anagrus","erythroneurae","","MY","Anagrus","erythroneurae","","MY","Anagrus","erythroneurae","","MY","Anagrus","erythroneurae","","MY"
"Anagrus","fennicus","","MY","Anagrus","fennicus","","MY","Anagrus","fennicus","","MY","Anagrus","fennicus","","MY"
"Anagrus","flaveolus","","MY","Anagrus","flaveolus","","MY","Anagrus","flaveolus","","MY","Anagrus","flaveolus","","MY"
"Anagrus","flaviapex","","MY","Anagrus","flaviapex","","MY","Anagrus","flaviapex","","MY","Anagrus","flaviapex","","MY"
"Anagrus","frequens","","MY","Anagrus","frequens","","MY","Anagrus","frequens","","MY","Anagrus","frequens","","MY"
"Anagrus","gonzalezae","","MY","Anagrus","gonzalezae","","MY","Anagrus","gonzalezae","","MY","Anagrus","gonzalezae","","MY"
"Anagrus","incarnatosimilis","","MY","Anagrus","incarnatosimilis","","MY","Anagrus","incarnatosimilis","","MY","Anagrus","incarnatosimilis","","MY"
"Anagrus","incarnatus","","MY","Anagrus","incarnatus","","MY","Anagrus","incarnatus","","MY","Anagrus","incarnatus","","MY"
"Anagrus","iti","","MY","Anagrus","iti","","MY","Anagrus","iti","","MY","Anagrus","iti","","MY"
"Anagrus","lindberginae","","MY","Anagrus","lindberginae","","MY","Anagrus","lindberginae","","MY","Anagrus","lindberginae","","MY"
"Anagrus","minutus","","MY","Anagrus","minutus","","MY","Anagrus","minutus","","MY","Anagrus","minutus","","MY"
"Anagrus","miriamae","","MY","Anagrus","miriamae","","MY","Anagrus","miriamae","","MY","Anagrus","miriamae","","MY"
"Anagrus","naulti","","MY","Anagrus","naulti","","MY","Anagrus","naulti","","MY","Anagrus","naulti","","MY"
"Anagrus","nepetellae","!","MY","Anagrus","nepetellae","!","MY","Anagrus","nepetellae","!","MY","Anagrus","nepetellae","!","MY"
"Anagrus","nigriceps","","MY","Anagrus","nigriceps","","MY","Anagrus","nigriceps","","MY","Anagrus","nigriceps","","MY"
"Anagrus","nigriventris","","MY","Anagrus","nigriventris","","MY","Anagrus","nigriventris","","MY","Anagrus","nigriventris","","MY"
"Anagrus","nilaparvatae","","MY","Anagrus","nilaparvatae","","MY","Anagrus","nilaparvatae","","MY","Anagrus","nilaparvatae","","MY"
"Anagrus","optabilis","","MY","Anagrus","optabilis","","MY","Anagrus","optabilis","","MY","Anagrus","optabilis","","MY"
"Anagrus","perforator","","MY","Anagrus","perforator","","MY","Anagrus","perforator","","MY","Anagrus","perforator","","MY"
"Anagrus","sophiae","","MY","Anagrus","sophiae","","MY","Anagrus","sophiae","","MY","Anagrus","sophiae","","MY"
"Anagrus","subfuscus","","MY","Anagrus","subfuscus","","MY","Anagrus","subfuscus","","MY","Anagrus","subfuscus","","MY"
"Anagrus","takeyanus","","MY","Anagrus","takeyanus","","MY","Anagrus","takeyanus","","MY","Anagrus","takeyanus","","MY"
"Anagrus","tretiakovae","","MY","Anagrus","tretiakovae","","MY","Anagrus","tretiakovae","","MY","Anagrus","tretiakovae","","MY"
"Anagrus","turpanicus","","MY","Anagrus","turpanicus","","MY","Anagrus","turpanicus","","MY","Anagrus","turpanicus","","MY"
"Anagrus","ustulatus","","MY","Anagrus","ustulatus","","MY","Anagrus","ustulatus","","MY","Anagrus","ustulatus","","MY"
"Anagrus","virginiae","","MY","Anagrus","virginiae","","MY","Anagrus","virginiae","","MY","Anagrus","virginiae","","MY"
"Anagrus","virlai","","MY","Anagrus","virlai","","MY","Anagrus","virlai","","MY","Anagrus","virlai","","MY"
"Anagrus","vulneratus","","MY","Anagrus","vulneratus","","MY","Anagrus","vulneratus","","MY","Anagrus","vulneratus","","MY"
"Anagrus","yawi","","MY","Anagrus","yawi","","MY","Anagrus","yawi","","MY","Anagrus","yawi","","MY"
"Anagyrus","","","ET","Anagyrus","","","ET","Anagyrus","","","ET","Anagyrus","","","ET"
"Anaphes","","","MY","Anaphes","","","MY","Anaphes","","","MY","Anaphes","","","MY"
"Anaphes","atomarius","","MY","Anaphes","atomarius","","MY","Anaphes","atomarius","","MY","Anaphes","atomarius","","MY"
"Anaphes","behmani","","MY","Anaphes","behmani","","MY","Anaphes","behmani","","MY","Anaphes","behmani","","MY"
"Anaphes","brevis","","MY","Anaphes","brevis","","MY","Anaphes","brevis","","MY","Anaphes","brevis","","MY"
"Anaphes","byrrhidiphagus","","MY","Anaphes","byrrhidiphagus","","MY","Anaphes","byrrhidiphagus","","MY","Anaphes","byrrhidiphagus","","MY"
"Anaphes","calendrae","","MY","Anaphes","calendrae","","MY","Anaphes","calendrae","","MY","Anaphes","calendrae","","MY"
"Anaphes","collinus","","MY","Anaphes","collinus","","MY","Anaphes","collinus","","MY","Anaphes","collinus","","MY"
"Anaphes","conotracheli","","MY","Anaphes","conotracheli","","MY","Anaphes","conotracheli","","MY","Anaphes","conotracheli","","MY"
"Anaphes","diana","","MY","Anaphes","diana","","MY","Anaphes","diana","","MY","Anaphes","diana","","MY"
"Anaphes","flavipes","","MY","Anaphes","flavipes","","MY","Anaphes","flavipes","","MY","Anaphes","flavipes","","MY"
"Anaphes","fuscipennis","","MY","Anaphes","fuscipennis","","MY","Anaphes","fuscipennis","","MY","Anaphes","fuscipennis","","MY"
"Anaphes","gauthieri","","MY","Anaphes","gauthieri","","MY","Anaphes","gauthieri","","MY","Anaphes","gauthieri","","MY"
"Anaphes","gerrisophaga","","MY","Anaphes","gerrisophaga","","MY","Anaphes","gerrisophaga","","MY","Anaphes","gerrisophaga","","MY"
"Anaphes","iole","","MY","Anaphes","iole","","MY","Anaphes","iole","","MY","Anaphes","iole","","MY"
"Anaphes","lineipennis","","MY","Anaphes","lineipennis","","MY","Anaphes","lineipennis","","MY","Anaphes","lineipennis","","MY"
"Anaphes","listronoti","","MY","Anaphes","listronoti","","MY","Anaphes","listronoti","","MY","Anaphes","listronoti","","MY"
"Anaphes","listronoti","!","MY","Anaphes","listronoti","!","MY","Anaphes","listronoti","!","MY","Anaphes","listronoti","!","MY"
"Anaphes","longicornis","","MY","Anaphes","longicornis","","MY","Anaphes","longicornis","","MY","Anaphes","longicornis","","MY"
"Anaphes","luna","","MY","Anaphes","luna","","MY","Anaphes","luna","","MY","Anaphes","luna","","MY"
"Anaphes","nipponicus","","MY","Anaphes","nipponicus","","MY","Anaphes","nipponicus","","MY","Anaphes","nipponicus","","MY"
"Anaphes","nitens","","MY","Anaphes","nitens","","MY","Anaphes","nitens","","MY","Anaphes","nitens","","MY"
"Anaphes","pullicrurus","","MY","Anaphes","pullicrurus","","MY","Anaphes","pullicrurus","","MY","Anaphes","pullicrurus","","MY"
"Anaphes","regulus","","MY","Anaphes","regulus","","MY","Anaphes","regulus","","MY","Anaphes","regulus","","MY"
"Anaphes","sordidatus","","MY","Anaphes","sordidatus","","MY","Anaphes","sordidatus","","MY","Anaphes","sordidatus","","MY"
"Anaphes","tasmaniae","","MY","Anaphes","tasmaniae","","MY","Anaphes","tasmaniae","","MY","Anaphes","tasmaniae","","MY"
"Anaphes","victus","","MY","Anaphes","victus","","MY","Anaphes","victus","","MY","Anaphes","victus","","MY"
"Anaphes","victus","!","MY","Anaphes","victus","!","MY","Anaphes","victus","!","MY","Anaphes","victus","!","MY"
"Anastatus","","","IE","Anastatus","","","IE","Anastatus","","","IE","Anastatus","","","IE"
"Anastatus","acherontiae","","IE","Anastatus","acherontiae","","IE","Anastatus","acherontiae","","IE","Anastatus","acherontiae","","IE"
"Anastatus","aereicorpus","","IE","Anastatus","aereicorpus","","IE","Anastatus","aereicorpus","","IE","Anastatus","aereicorpus","","IE"
"Anastatus","atriflagellum","","IE","Anastatus","atriflagellum","","IE","Anastatus","atriflagellum","","IE","Anastatus","atriflagellum","","IE"
"Anastatus","auriceps","","IE","Anastatus","auriceps","","IE","Anastatus","auriceps","","IE","Anastatus","auriceps","","IE"
"Anastatus","bangalorensis","","IE","Anastatus","bangalorensis","","IE","Anastatus","bangalorensis","","IE","Anastatus","bangalorensis","","IE"
"Anastatus","basalis","","IE","Anastatus","basalis","","IE","Anastatus","basalis","","IE","Anastatus","basalis","","IE"
"Anastatus","bifasciatus","","IE","Anastatus","bifasciatus","","IE","Anastatus","bifasciatus","","IE","Anastatus","bifasciatus","","IE"
"Anastatus","biproruli","","IE","Anastatus","biproruli","","IE","Anastatus","biproruli","","IE","Anastatus","biproruli","","IE"
"Anastatus","blattidifurax","","IE","Anastatus","blattidifurax","","IE","Anastatus","blattidifurax","","IE","Anastatus","blattidifurax","","IE"
"Anastatus","bombax","","IE","Anastatus","bombax","","IE","Anastatus","bombax","","IE","Anastatus","bombax","","IE"
"Anastatus","catalonicus","","IE","Anastatus","catalonicus","","IE","Anastatus","catalonicus","","IE","Anastatus","catalonicus","","IE"
"Anastatus","charitos","","IE","Anastatus","charitos","","IE","Anastatus","charitos","","IE","Anastatus","charitos","","IE"
"Anastatus","colemani","","IE","Anastatus","colemani","","IE","Anastatus","colemani","","IE","Anastatus","colemani","","IE"
"Anastatus","dasyni","","IE","Anastatus","dasyni","","IE","Anastatus","dasyni","","IE","Anastatus","dasyni","","IE"
"Anastatus","dendrolimus","","IE","Anastatus","dendrolimus","","IE","Anastatus","dendrolimus","","IE","Anastatus","dendrolimus","","IE"
"Anastatus","dexingensis","","IE","Anastatus","dexingensis","","IE","Anastatus","dexingensis","","IE","Anastatus","dexingensis","","IE"
"Anastatus","excavatus","","IE","Anastatus","excavatus","","IE","Anastatus","excavatus","","IE","Anastatus","excavatus","","IE"
"Anastatus","flavipes","","IE","Anastatus","flavipes","","IE","Anastatus","flavipes","","IE","Anastatus","flavipes","","IE"
"Anastatus","floridanus","","IE","Anastatus","floridanus","","IE","Anastatus","floridanus","","IE","Anastatus","floridanus","","IE"
"Anastatus","fuligispina","","IE","Anastatus","fuligispina","","IE","Anastatus","fuligispina","","IE","Anastatus","fuligispina","","IE"
"Anastatus","fulloi","","IE","Anastatus","fulloi","","IE","Anastatus","fulloi","","IE","Anastatus","fulloi","","IE"
"Anastatus","halyomorphae","","IE","Anastatus","halyomorphae","","IE","Anastatus","halyomorphae","","IE","Anastatus","halyomorphae","","IE"
"Anastatus","hirtus","","IE","Anastatus","hirtus","","IE","Anastatus","hirtus","","IE","Anastatus","hirtus","","IE"
"Anastatus","huangi","","IE","Anastatus","huangi","","IE","Anastatus","huangi","","IE","Anastatus","huangi","","IE"
"Anastatus","japonicus","","IE","Anastatus","japonicus","","IE","Anastatus","japonicus","","IE","Anastatus","japonicus","","IE"
"Anastatus","kashmirensis","","IE","Anastatus","kashmirensis","","IE","Anastatus","kashmirensis","","IE","Anastatus","kashmirensis","","IE"
"Anastatus","lichtensteini","","IE","Anastatus","lichtensteini","","IE","Anastatus","lichtensteini","","IE","Anastatus","lichtensteini","","IE"
"Anastatus","maculosus","","IE","Anastatus","maculosus","","IE","Anastatus","maculosus","","IE","Anastatus","maculosus","","IE"
"Anastatus","madagascariensis","","IE","Anastatus","madagascariensis","","IE","Anastatus","madagascariensis","","IE","Anastatus","madagascariensis","","IE"
"Anastatus","mantis","","IE","Anastatus","mantis","","IE","Anastatus","mantis","","IE","Anastatus","mantis","","IE"
"Anastatus","mantoidae","","IE","Anastatus","mantoidae","","IE","Anastatus","mantoidae","","IE","Anastatus","mantoidae","","IE"
"Anastatus","meilingensis","","IE","Anastatus","meilingensis","","IE","Anastatus","meilingensis","","IE","Anastatus","meilingensis","","IE"
"Anastatus","mirabilis","","IE","Anastatus","mirabilis","","IE","Anastatus","mirabilis","","IE","Anastatus","mirabilis","","IE"
"Anastatus","orientalis","","IE","Anastatus","orientalis","","IE","Anastatus","orientalis","","IE","Anastatus","orientalis","","IE"
"Anastatus","oscari","","IE","Anastatus","oscari","","IE","Anastatus","oscari","","IE","Anastatus","oscari","","IE"
"Anastatus","pentatomidivorus","","IE","Anastatus","pentatomidivorus","","IE","Anastatus","pentatomidivorus","","IE","Anastatus","pentatomidivorus","","IE"
"Anastatus","poggioni","","IE","Anastatus","poggioni","","IE","Anastatus","poggioni","","IE","Anastatus","poggioni","","IE"
"Anastatus","ramakrishnai","","IE","Anastatus","ramakrishnai","","IE","Anastatus","ramakrishnai","","IE","Anastatus","ramakrishnai","","IE"
"Anastatus","redini","","IE","Anastatus","redini","","IE","Anastatus","redini","","IE","Anastatus","redini","","IE"
"Anastatus","reduvii","","IE","Anastatus","reduvii","","IE","Anastatus","reduvii","","IE","Anastatus","reduvii","","IE"
"Anastatus","semiflavidus","","IE","Anastatus","semiflavidus","","IE","Anastatus","semiflavidus","","IE","Anastatus","semiflavidus","","IE"
"Anastatus","shichengensis","","IE","Anastatus","shichengensis","","IE","Anastatus","shichengensis","","IE","Anastatus","shichengensis","","IE"
"Anastatus","tenuipes","","IE","Anastatus","tenuipes","","IE","Anastatus","tenuipes","","IE","Anastatus","tenuipes","","IE"
"Anastatus","yasumatsui","","IE","Anastatus","yasumatsui","","IE","Anastatus","yasumatsui","","IE","Anastatus","yasumatsui","","IE"
"Anneckia","oophaga","","MY","Anneckia","oophaga","","MY","Anneckia","oophaga","","MY","Anneckia","oophaga","","MY"
"Anogmus","trjapitzini","","PZD","Anogmus","trjapitzini","","PZD","Anogmus","trjapitzini","","PZD","Anogmus","trjapitzini","","PZD"
"Aphelinoidea","","","WOC","Aphelinoidea","","","WOC","Aphelinoidea","","","WOC","Aphelinoidea","","","WOC"
"Aphelinoidea","anatolica","","WOC","Aphelinoidea","anatolica","","WOC","Aphelinoidea","anatolica","","WOC","Aphelinoidea","anatolica","","WOC"
"Aphelinoidea","gerlingi","","WOC","Aphelinoidea","gerlingi","","WOC","Aphelinoidea","gerlingi","","WOC","Aphelinoidea","gerlingi","","WOC"
"Aphelinoidea","longiclavata","","WOC","Aphelinoidea","longiclavata","","WOC","Aphelinoidea","longiclavata","","WOC","Aphelinoidea","longiclavata","","WOC"
"Aphelinoidea","sariq","","WOC","Aphelinoidea","sariq","","WOC","Aphelinoidea","sariq","","WOC","Aphelinoidea","sariq","","WOC"
"Aphelinoidea","semifuscipennis","","WOC","Aphelinoidea","semifuscipennis","","WOC","Aphelinoidea","semifuscipennis","","WOC","Aphelinoidea","semifuscipennis","","WOC"
"Aphelinoidea","turanica","","WOC","Aphelinoidea","turanica","","WOC","Aphelinoidea","turanica","","WOC","Aphelinoidea","turanica","","WOC"
"Aphelinoidea","zarehi","","WOC","Aphelinoidea","zarehi","","WOC","Aphelinoidea","zarehi","","WOC","Aphelinoidea","zarehi","","WOC"
"Aphelinus","","","BA","Aphelinus","","","BA","Aphelinus","","","BA","Aphelinus","","","BA"
"Aphelinus","crocidolomiae","!","BA","Aphelinus","crocidolomiae","!","BA","Aphelinus","crocidolomiae","!","BA","Aphelinus","crocidolomiae","!","BA"
"Aphelinus","mali","","BA","Aphelinus","mali","","BA","Aphelinus","mali","","BA","Aphelinus","mali","","BA"
"Apleurotropis","lalori","","HN","Apleurotropis","lalori","","HN","Apleurotropis","lalori","","HN","Apleurotropis","lalori","","HN"
"Aprostocetus","","","HT","Aprostocetus","","","HT","Aprostocetus","","","HT","Aprostocetus","","","HT"
"Aprostocetus","aeneoculex","","HT","Aprostocetus","aeneoculex","","HT","Aprostocetus","aeneoculex","","HT","Aprostocetus","aeneoculex","","HT"
"Aprostocetus","anoplophorae","","HT","Aprostocetus","anoplophorae","","HT","Aprostocetus","anoplophorae","","HT","Aprostocetus","anoplophorae","","HT"
"Aprostocetus","asthenogmus","","HT","Aprostocetus","asthenogmus","","HT","Aprostocetus","asthenogmus","","HT","Aprostocetus","asthenogmus","","HT"
"Aprostocetus","banksii","","HT","Aprostocetus","banksii","","HT","Aprostocetus","banksii","","HT","Aprostocetus","banksii","","HT"
"Aprostocetus","beatus","","HT","Aprostocetus","beatus","","HT","Aprostocetus","beatus","","HT","Aprostocetus","beatus","","HT"
"Aprostocetus","blattae","","HT","Aprostocetus","blattae","","HT","Aprostocetus","blattae","","HT","Aprostocetus","blattae","","HT"
"Aprostocetus","brevipedicellus","","HT","Aprostocetus","brevipedicellus","","HT","Aprostocetus","brevipedicellus","","HT","Aprostocetus","brevipedicellus","","HT"
"Aprostocetus","citripes","","HT","Aprostocetus","citripes","","HT","Aprostocetus","citripes","","HT","Aprostocetus","citripes","","HT"
"Aprostocetus","crino","","HT","Aprostocetus","crino","","HT","Aprostocetus","crino","","HT","Aprostocetus","crino","","HT"
"Aprostocetus","dendrolimi","","HT","Aprostocetus","dendrolimi","","HT","Aprostocetus","dendrolimi","","HT","Aprostocetus","dendrolimi","","HT"
"Aprostocetus","doutti","","HT","Aprostocetus","doutti","","HT","Aprostocetus","doutti","","HT","Aprostocetus","doutti","","HT"
"Aprostocetus","eurytus","","HT","Aprostocetus","eurytus","","HT","Aprostocetus","eurytus","","HT","Aprostocetus","eurytus","","HT"
"Aprostocetus","formosanus","","HT","Aprostocetus","formosanus","","HT","Aprostocetus","formosanus","","HT","Aprostocetus","formosanus","","HT"
"Aprostocetus","fukutai","","HT","Aprostocetus","fukutai","","HT","Aprostocetus","fukutai","","HT","Aprostocetus","fukutai","","HT"
"Aprostocetus","gala","","HT","Aprostocetus","gala","","HT","Aprostocetus","gala","","HT","Aprostocetus","gala","","HT"
"Aprostocetus","hagenowii","","HT","Aprostocetus","hagenowii","","HT","Aprostocetus","hagenowii","","HT","Aprostocetus","hagenowii","","HT"
"Aprostocetus","homochromus","","HT","Aprostocetus","homochromus","","HT","Aprostocetus","homochromus","","HT","Aprostocetus","homochromus","","HT"
"Aprostocetus","infulatus","","HT","Aprostocetus","infulatus","","HT","Aprostocetus","infulatus","","HT","Aprostocetus","infulatus","","HT"
"Aprostocetus","ischnopterae","","HT","Aprostocetus","ischnopterae","","HT","Aprostocetus","ischnopterae","","HT","Aprostocetus","ischnopterae","","HT"
"Aprostocetus","kuriani","","HT","Aprostocetus","kuriani","","HT","Aprostocetus","kuriani","","HT","Aprostocetus","kuriani","","HT"
"Aprostocetus","lamiicidus","","HT","Aprostocetus","lamiicidus","","HT","Aprostocetus","lamiicidus","","HT","Aprostocetus","lamiicidus","","HT"
"Aprostocetus","mandanis","","HT","Aprostocetus","mandanis","","HT","Aprostocetus","mandanis","","HT","Aprostocetus","mandanis","","HT"
"Aprostocetus","miridivorus","","HT","Aprostocetus","miridivorus","","HT","Aprostocetus","miridivorus","","HT","Aprostocetus","miridivorus","","HT"
"Aprostocetus","natans","","HT","Aprostocetus","natans","","HT","Aprostocetus","natans","","HT","Aprostocetus","natans","","HT"
"Aprostocetus","oreophilus","","HT","Aprostocetus","oreophilus","","HT","Aprostocetus","oreophilus","","HT","Aprostocetus","oreophilus","","HT"
"Aprostocetus","orgyiae","","HT","Aprostocetus","orgyiae","","HT","Aprostocetus","orgyiae","","HT","Aprostocetus","orgyiae","","HT"
"Aprostocetus","ovivorax","","HT","Aprostocetus","ovivorax","","HT","Aprostocetus","ovivorax","","HT","Aprostocetus","ovivorax","","HT"
"Aprostocetus","percaudatus","","HT","Aprostocetus","percaudatus","","HT","Aprostocetus","percaudatus","","HT","Aprostocetus","percaudatus","","HT"
"Aprostocetus","politi","","HT","Aprostocetus","politi","","HT","Aprostocetus","politi","","HT","Aprostocetus","politi","","HT"
